event_id,player_id,ts,amount,transactions
0,01C,2021-12-01 00:00:00,131.79,6.0
1,01C,2021-12-01 01:00:00,176.41,1.0
2,01C,2021-12-01 02:00:00,972.67,7.0
3,01C,2021-12-01 03:00:00,810.02,2.0
4,01C,2021-12-01 04:00:00,265.16,9.0
5,01C,2021-12-01 05:00:00,904.72,1.0
6,01C,2021-12-01 06:00:00,420.23,5.0
7,01C,2021-12-01 07:00:00,432.1,8.0
8,01C,2021-12-01 08:00:00,515.79,6.0
9,01C,2021-12-01 09:00:00,223.11,6.0
10,01C,2021-12-01 10:00:00,942.81,7.0
11,01C,2021-12-01 11:00:00,780.45,8.0
12,01C,2021-12-01 12:00:00,747.58,8.0
13,01C,2021-12-01 13:00:00,202.48,10.0
14,01C,2021-12-01 14:00:00,760.8,9.0
15,01C,2021-12-01 15:00:00,889.01,5.0
16,01C,2021-12-01 16:00:00,159.25,10.0
17,01C,2021-12-01 17:00:00,914.06,9.0
18,01C,2021-12-01 18:00:00,932.82,6.0
19,01C,2021-12-01 19:00:00,503.0,5.0
20,01C,2021-12-01 20:00:00,980.89,3.0
21,01C,2021-12-01 21:00:00,407.82,5.0
22,01C,2021-12-01 22:00:00,10.22,9.0
23,01C,2021-12-01 23:00:00,321.89,1.0
24,01C,2021-12-02 00:00:00,734.76,3.0
25,01C,2021-12-02 01:00:00,745.28,5.0
26,01C,2021-12-02 02:00:00,991.57,4.0
27,01C,2021-12-02 03:00:00,551.6,2.0
28,01C,2021-12-02 04:00:00,528.29,7.0
29,01C,2021-12-02 05:00:00,101.95,5.0
30,01C,2021-12-02 06:00:00,354.35,5.0
31,01C,2021-12-02 07:00:00,598.43,6.0
32,01C,2021-12-02 08:00:00,326.19,6.0
33,01C,2021-12-02 09:00:00,818.03,5.0
34,01C,2021-12-02 10:00:00,587.68,2.0
35,01C,2021-12-02 11:00:00,60.29,1.0
36,01C,2021-12-02 12:00:00,809.63,5.0
37,01C,2021-12-02 13:00:00,789.6,8.0
38,01C,2021-12-02 14:00:00,795.53,2.0
39,01C,2021-12-02 15:00:00,737.93,4.0
40,01C,2021-12-02 16:00:00,146.54,9.0
41,01C,2021-12-02 17:00:00,940.71,7.0
42,01C,2021-12-02 18:00:00,98.39,7.0
43,01C,2021-12-02 19:00:00,418.41,2.0
44,01C,2021-12-02 20:00:00,531.55,7.0
45,01C,2021-12-02 21:00:00,269.59,3.0
46,01C,2021-12-02 22:00:00,925.45,8.0
47,01C,2021-12-02 23:00:00,14.24,3.0
48,01C,2021-12-03 00:00:00,983.11,7.0
49,01C,2021-12-03 01:00:00,467.45,2.0
50,01C,2021-12-03 02:00:00,887.72,10.0
51,01C,2021-12-03 03:00:00,537.38,7.0
52,01C,2021-12-03 04:00:00,813.51,5.0
53,01C,2021-12-03 05:00:00,752.19,3.0
54,01C,2021-12-03 06:00:00,512.96,9.0
55,01C,2021-12-03 07:00:00,428.15,9.0
56,01C,2021-12-03 08:00:00,648.15,5.0
57,01C,2021-12-03 09:00:00,976.36,6.0
58,01C,2021-12-03 10:00:00,687.29,10.0
59,01C,2021-12-03 11:00:00,177.83,3.0
60,01C,2021-12-03 12:00:00,825.69,6.0
61,01C,2021-12-03 13:00:00,126.4,2.0
62,01C,2021-12-03 14:00:00,216.22,2.0
63,01C,2021-12-03 15:00:00,595.88,6.0
64,01C,2021-12-03 16:00:00,334.22,7.0
65,01C,2021-12-03 17:00:00,234.69,3.0
66,01C,2021-12-03 18:00:00,125.83,10.0
67,01C,2021-12-03 19:00:00,721.76,2.0
68,01C,2021-12-03 20:00:00,651.91,9.0
69,01C,2021-12-03 21:00:00,660.44,3.0
70,01C,2021-12-03 22:00:00,633.42,9.0
71,01C,2021-12-03 23:00:00,308.51,3.0
72,01C,2021-12-04 00:00:00,867.3,3.0
73,01C,2021-12-04 01:00:00,573.77,1.0
74,01C,2021-12-04 02:00:00,867.35,5.0
75,01C,2021-12-04 03:00:00,902.75,8.0
76,01C,2021-12-04 04:00:00,645.44,10.0
77,01C,2021-12-04 05:00:00,691.81,7.0
78,01C,2021-12-04 06:00:00,38.94,2.0
79,01C,2021-12-04 07:00:00,101.45,8.0
80,01C,2021-12-04 08:00:00,361.52,9.0
81,01C,2021-12-04 09:00:00,596.93,4.0
82,01C,2021-12-04 10:00:00,381.47,2.0
83,01C,2021-12-04 11:00:00,797.44,7.0
84,01C,2021-12-04 12:00:00,562.2,7.0
85,01C,2021-12-04 13:00:00,611.1,6.0
86,01C,2021-12-04 14:00:00,744.69,8.0
87,01C,2021-12-04 15:00:00,523.11,4.0
88,01C,2021-12-04 16:00:00,839.7,4.0
89,01C,2021-12-04 17:00:00,518.01,8.0
90,01C,2021-12-04 18:00:00,780.23,8.0
91,01C,2021-12-04 19:00:00,792.55,7.0
92,01C,2021-12-04 20:00:00,172.41,9.0
93,01C,2021-12-04 21:00:00,223.94,10.0
94,01C,2021-12-04 22:00:00,28.85,9.0
95,01C,2021-12-04 23:00:00,891.47,1.0
96,01C,2021-12-05 00:00:00,200.27,2.0
97,01C,2021-12-05 01:00:00,244.93,3.0
98,01C,2021-12-05 02:00:00,35.34,6.0
99,01C,2021-12-05 03:00:00,293.16,6.0
100,01C,2021-12-05 04:00:00,41.43,4.0
101,01C,2021-12-05 05:00:00,625.28,10.0
102,01C,2021-12-05 06:00:00,897.76,4.0
103,01C,2021-12-05 07:00:00,984.16,8.0
104,01C,2021-12-05 08:00:00,831.62,2.0
105,01C,2021-12-05 09:00:00,737.93,2.0
106,01C,2021-12-05 10:00:00,284.19,7.0
107,01C,2021-12-05 11:00:00,638.55,7.0
108,01C,2021-12-05 12:00:00,468.29,2.0
109,01C,2021-12-05 13:00:00,440.74,3.0
110,01C,2021-12-05 14:00:00,386.53,5.0
111,01C,2021-12-05 15:00:00,13.75,2.0
112,01C,2021-12-05 16:00:00,334.07,3.0
113,01C,2021-12-05 17:00:00,727.89,10.0
114,01C,2021-12-05 18:00:00,453.96,5.0
115,01C,2021-12-05 19:00:00,366.75,5.0
116,01C,2021-12-05 20:00:00,923.53,1.0
117,01C,2021-12-05 21:00:00,941.57,8.0
118,01C,2021-12-05 22:00:00,92.37,5.0
119,01C,2021-12-05 23:00:00,250.57,2.0
120,01C,2021-12-06 00:00:00,538.62,2.0
121,01C,2021-12-06 01:00:00,256.55,6.0
122,01C,2021-12-06 02:00:00,425.5,5.0
123,01C,2021-12-06 03:00:00,44.79,8.0
124,01C,2021-12-06 04:00:00,55.23,5.0
125,01C,2021-12-06 05:00:00,952.34,8.0
126,01C,2021-12-06 06:00:00,314.32,3.0
127,01C,2021-12-06 07:00:00,102.42,6.0
128,01C,2021-12-06 08:00:00,358.13,9.0
129,01C,2021-12-06 09:00:00,546.44,10.0
130,01C,2021-12-06 10:00:00,865.3,6.0
131,01C,2021-12-06 11:00:00,198.11,9.0
132,01C,2021-12-06 12:00:00,737.82,5.0
133,01C,2021-12-06 13:00:00,252.64,2.0
134,01C,2021-12-06 14:00:00,95.05,4.0
135,01C,2021-12-06 15:00:00,505.53,4.0
136,01C,2021-12-06 16:00:00,277.68,4.0
137,01C,2021-12-06 17:00:00,359.57,6.0
138,01C,2021-12-06 18:00:00,346.51,6.0
139,01C,2021-12-06 19:00:00,121.33,4.0
140,01C,2021-12-06 20:00:00,792.49,4.0
141,01C,2021-12-06 21:00:00,326.39,4.0
142,01C,2021-12-06 22:00:00,993.91,10.0
143,01C,2021-12-06 23:00:00,835.3,6.0
144,01C,2021-12-07 00:00:00,50.98,5.0
145,01C,2021-12-07 01:00:00,884.51,5.0
146,01C,2021-12-07 02:00:00,895.51,7.0
147,01C,2021-12-07 03:00:00,208.25,5.0
148,01C,2021-12-07 04:00:00,588.64,6.0
149,01C,2021-12-07 05:00:00,418.18,6.0
150,01C,2021-12-07 06:00:00,509.15,3.0
151,01C,2021-12-07 07:00:00,49.37,4.0
152,01C,2021-12-07 08:00:00,736.59,4.0
153,01C,2021-12-07 09:00:00,34.32,9.0
154,01C,2021-12-07 10:00:00,825.92,9.0
155,01C,2021-12-07 11:00:00,540.12,3.0
156,01C,2021-12-07 12:00:00,767.18,6.0
157,01C,2021-12-07 13:00:00,907.02,1.0
158,01C,2021-12-07 14:00:00,387.46,7.0
159,01C,2021-12-07 15:00:00,649.47,7.0
160,01C,2021-12-07 16:00:00,341.87,1.0
161,01C,2021-12-07 17:00:00,760.05,8.0
162,01C,2021-12-07 18:00:00,23.05,7.0
163,01C,2021-12-07 19:00:00,178.37,8.0
164,01C,2021-12-07 20:00:00,680.75,3.0
165,01C,2021-12-07 21:00:00,220.26,2.0
166,01C,2021-12-07 22:00:00,724.49,7.0
167,01C,2021-12-07 23:00:00,753.03,2.0
168,01C,2021-12-08 00:00:00,452.09,4.0
169,01C,2021-12-08 01:00:00,970.19,7.0
170,01C,2021-12-08 02:00:00,527.63,4.0
171,01C,2021-12-08 03:00:00,664.77,7.0
172,01C,2021-12-08 04:00:00,856.95,8.0
173,01C,2021-12-08 05:00:00,237.75,7.0
